"","Dept","obl_type","obl"
"1","Dept_A","AXOL",817.44
"2","Dept_A","AXOL",6.77
"3","Dept_B","AXOL",24.95
"4","Dept_A","AXOL",27.47
"5","Dept_A","AXOL",31.17
"6","Dept_C","AXOL",34.54
"7","Dept_D","AXOL",40.04
"8","Dept_B","AXOL",44.48
"9","Dept_E","AXOL",47
"10","Dept_F","AXOL",68.65
"11","Dept_G","AXOL",70
"12","Dept_A","AXOL",74.56
"13","Dept_A","AXOL",87.9
"14","Dept_G","AXOL",91.38
"15","Dept_A","AXOL",93.5
"16","Dept_A","AXOL",93.62
"17","Dept_H","AXOL",95.28
"18","Dept_A","AXOL",101.69
"19","Dept_G","AXOL",107.86
"20","Dept_G","AXOL",114.45
"21","Dept_G","AXOL",120
"22","Dept_B","AXOL",120
"23","Dept_A","AXOL",127.2
"24","Dept_G","AXOL",133.12
"25","Dept_D","AXOL",138.65
"26","Dept_A","AXOL",138.81
"27","Dept_I","AXOL",149
"28","Dept_F","AXOL",149.4
"29","Dept_J","AXOL",155
"30","Dept_A","AXOL",161.24
"31","Dept_A","AXOL",168.28
"32","Dept_A","AXOL",172.62
"33","Dept_A","AXOL",177.6
"34","Dept_A","AXOL",185
"35","Dept_E","AXOL",186.64
"36","Dept_K","AXOL",195
"37","Dept_A","AXOL",216.49
"38","Dept_F","AXOL",234.14
"39","Dept_K","AXOL",240
"40","Dept_A","AXOL",245.02
"41","Dept_A","AXOL",275.9
"42","Dept_A","AXOL",280.25
"43","Dept_L","AXOL",281
"44","Dept_J","AXOL",282.6
"45","Dept_G","AXOL",284.77
"46","Dept_E","AXOL",295
"47","Dept_A","AXOL",296.94
"48","Dept_E","AXOL",299
"49","Dept_M","AXOL",314.75
"50","Dept_A","AXOL",43.08
"51","Dept_A","AXOL",136.57
"52","Dept_A","AXOL",132.67
"53","Dept_C","AXOL",322.31
"54","Dept_M","AXOL",337.23
"55","Dept_H","AXOL",349.5
"56","Dept_A","AXOL",352.78
"57","Dept_G","AXOL",369.54
"58","Dept_D","AXOL",396
"59","Dept_N","AXOL",399
"60","Dept_F","AXOL",400
"61","Dept_C","AXOL",412.5
"62","Dept_G","AXOL",415.14
"63","Dept_G","AXOL",436
"64","Dept_B","AXOL",436
"65","Dept_M","AXOL",437.2
"66","Dept_A","AXOL",450.5
"67","Dept_A","AXOL",456.7
"68","Dept_A","AXOL",458.6
"69","Dept_C","AXOL",462.1
"70","Dept_A","AXOL",411.99
"71","Dept_O","AXOL",472.75
"72","Dept_A","AXOL",492
"73","Dept_E","AXOL",495
"74","Dept_C","AXOL",500
"75","Dept_E","AXOL",500
"76","Dept_K","AXOL",509.71
"77","Dept_B","AXOL",513
"78","Dept_A","AXOL",313.45
"79","Dept_A","AXOL",524.35
"80","Dept_A","AXOL",103.32
"81","Dept_A","AXOL",544.8
"82","Dept_G","AXOL",187.22
"83","Dept_G","AXOL",362.86
"84","Dept_G","AXOL",550.72
"85","Dept_A","AXOL",558.2
"86","Dept_C","AXOL",564.15
"87","Dept_H","AXOL",575
"88","Dept_C","AXOL",581.94
"89","Dept_H","AXOL",594.15
"90","Dept_F","AXOL",602.9
"91","Dept_G","AXOL",603.15
"92","Dept_E","AXOL",605
"93","Dept_P","AXOL",605
"94","Dept_E","AXOL",616
"95","Dept_A","AXOL",617.65
"96","Dept_E","AXOL",625
"97","Dept_A","AXOL",642
"98","Dept_O","AXOL",646.59
"99","Dept_G","AXOL",680
"100","Dept_A","AXOL",695
"101","Dept_F","AXOL",697.5
"102","Dept_H","AXOL",699
"103","Dept_E","AXOL",699
"104","Dept_A","AXOL",51.53
"105","Dept_A","AXOL",700.84
"106","Dept_L","AXOL",709.83
"107","Dept_A","AXOL",716.83
"108","Dept_L","AXOL",732.6
"109","Dept_J","AXOL",745.82
"110","Dept_D","AXOL",757
"111","Dept_A","AXOL",760.77
"112","Dept_H","AXOL",770.47
"113","Dept_G","AXOL",795
"114","Dept_D","AXOL",797.65
"115","Dept_A","AXOL",797.88
"116","Dept_P","AXOL",799
"117","Dept_J","AXOL",818.03
"118","Dept_B","AXOL",825
"119","Dept_B","AXOL",825
"120","Dept_A","AXOL",830.2
"121","Dept_G","AXOL",858.63
"122","Dept_A","AXOL",858.9
"123","Dept_A","AXOL",859.55
"124","Dept_L","AXOL",871.4
"125","Dept_A","AXOL",892
"126","Dept_N","AXOL",895
"127","Dept_N","AXOL",895
"128","Dept_A","AXOL",900
"129","Dept_A","AXOL",917.5
"130","Dept_A","AXOL",924.1
"131","Dept_E","AXOL",927
"132","Dept_D","AXOL",932
"133","Dept_A","AXOL",938.56
"134","Dept_P","AXOL",955
"135","Dept_G","AXOL",970
"136","Dept_L","AXOL",975
"137","Dept_Q","AXOL",975
"138","Dept_F","AXOL",978.88
"139","Dept_D","AXOL",998
"140","Dept_E","AXOL",1000
"141","Dept_A","AXOL",1011.4
"142","Dept_A","AXOL",713.9
"143","Dept_A","AXOL",1058.75
"144","Dept_E","AXOL",1090
"145","Dept_J","AXOL",1092.49
"146","Dept_R","AXOL",1095
"147","Dept_E","AXOL",1095
"148","Dept_G","AXOL",1103.12
"149","Dept_Q","AXOL",1119.68
"150","Dept_H","AXOL",1188
"151","Dept_A","AXOL",1229.94
"152","Dept_A","AXOL",1237
"153","Dept_G","AXOL",1279
"154","Dept_D","AXOL",1393.96
"155","Dept_H","AXOL",1400
"156","Dept_A","AXOL",1416.23
"157","Dept_E","AXOL",1464.73
"158","Dept_A","AXOL",1488
"159","Dept_D","AXOL",1493.4
"160","Dept_A","AXOL",1525
"161","Dept_A","AXOL",838.5
"162","Dept_K","AXOL",1545
"163","Dept_A","AXOL",1455.16
"164","Dept_R","AXOL",1580
"165","Dept_A","AXOL",1604.6
"166","Dept_A","AXOL",1627.79
"167","Dept_F","AXOL",1717.5
"168","Dept_K","AXOL",1750
"169","Dept_E","AXOL",1785
"170","Dept_G","AXOL",1786
"171","Dept_I","AXOL",1800
"172","Dept_L","AXOL",1850
"173","Dept_E","AXOL",1950
"174","Dept_M","AXOL",1965.1
"175","Dept_N","AXOL",1990
"176","Dept_M","AXOL",1990
"177","Dept_L","AXOL",2000
"178","Dept_M","AXOL",2100
"179","Dept_M","AXOL",2116.5
"180","Dept_A","AXOL",2125
"181","Dept_C","AXOL",2172.44
"182","Dept_D","AXOL",2174.89
"183","Dept_F","AXOL",2225.4
"184","Dept_A","AXOL",149.3
"185","Dept_M","AXOL",2250
"186","Dept_F","AXOL",2260
"187","Dept_C","AXOL",1137.25
"188","Dept_C","AXOL",1137.25
"189","Dept_R","AXOL",2250
"190","Dept_M","AXOL",2450
"191","Dept_M","AXOL",2450
"192","Dept_H","AXOL",2499
"193","Dept_L","AXOL",2500
"194","Dept_D","AXOL",2575
"195","Dept_G","AXOL",2584
"196","Dept_A","AXOL",2765.76
"197","Dept_C","AXOL",2896.5
"198","Dept_H","AXOL",2899
"199","Dept_B","AXOL",2900
"200","Dept_H","AXOL",2965
"201","Dept_O","AXOL",2984.27
"202","Dept_D","AXOL",3039.55
"203","Dept_J","AXOL",3135
"204","Dept_A","AXOL",3214.39
"205","Dept_A","AXOL",3222
"206","Dept_D","AXOL",3250
"207","Dept_E","AXOL",3260.35
"208","Dept_D","AXOL",3299.14
"209","Dept_S","AXOL",3403.5
"210","Dept_E","AXOL",3405.48
"211","Dept_C","AXOL",3437
"212","Dept_A","AXOL",3479
"213","Dept_D","AXOL",3560
"214","Dept_D","AXOL",3600
"215","Dept_D","AXOL",3600
"216","Dept_D","AXOL",3616
"217","Dept_H","AXOL",3625.38
"218","Dept_A","AXOL",3651.94
"219","Dept_L","AXOL",3695.74
"220","Dept_C","AXOL",3746.62
"221","Dept_J","AXOL",3805.39
"222","Dept_D","AXOL",3927.8
"223","Dept_A","AXOL",3967.2
"224","Dept_M","AXOL",3983.76
"225","Dept_A","AXOL",4099.59
"226","Dept_L","AXOL",4105
"227","Dept_A","AXOL",4243.5
"228","Dept_D","AXOL",4293.76
"229","Dept_D","AXOL",4293.76
"230","Dept_E","AXOL",4300
"231","Dept_D","AXOL",4500
"232","Dept_F","AXOL",4509.56
"233","Dept_D","AXOL",4590
"234","Dept_J","AXOL",4600
"235","Dept_B","AXOL",4688.16
"236","Dept_H","AXOL",4800
"237","Dept_R","AXOL",4892
"238","Dept_A","AXOL",5075.72
"239","Dept_O","AXOL",5115.76
"240","Dept_A","AXOL",5289.6
"241","Dept_D","AXOL",5442.26
"242","Dept_A","AXOL",5638.7
"243","Dept_C","AXOL",5796.2
"244","Dept_D","AXOL",5990
"245","Dept_D","AXOL",6130.15
"246","Dept_D","AXOL",6476.32
"247","Dept_A","AXOL",6528.96
"248","Dept_D","AXOL",6923.49
"249","Dept_D","AXOL",7335
